employer,title,location,industry,posted_at,source,source_url,external_id,verified
GREAT LAKES CHEESE,2nd Shift Line/Utility Job Details,La Crosse,manufacturing,2026-08-18,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:gld:2nd-shift-line-utility:2026-08-18,true
GREAT LAKES CHEESE,3rd Shift Line/Utility Job Details,La Crosse,manufacturing,2026-08-18,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:glc:3rd-shift-line-utility:2026-08-18,true
GREAT LAKES CHEESE,3rd Shift Process Cheese Block Setup Job Details,La Crosse,manufacturing,2026-08-14,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:glc:3rd-shift-process-cheese:2026-08-14,true
WIS PAK - LACROSSE INC,Production,La Crosse,manufacturing,2026-08-06,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:wispak:production:2026-08-06,true
WIS-PAK,Production (3rd Shift) La Crosse WI,La Crosse,manufacturing,2026-08-04,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:wispak:production-3rd:2026-08-04,true
TRANE TECHNOLOGIES,Production Supervisor,La Crosse,leadership,2026-07-31,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:trane:production-supervisor:2026-07-31,true
TRANE TECHNOLOGIES,Production Supervisor-2nd shift,La Crosse,leadership,2026-07-31,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:trane:production-supervisor-2nd:2026-07-31,true
TRANE TECHNOLOGIES,Maintenance Supervisor-2nd shift,La Crosse,leadership,2026-07-16,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:trane:maintenance-supervisor:2026-07-16,true
FDX,Ops Supervisor Station,Onalaska,leadership,2026-07-01,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:fdx:ops-supervisor:2026-07-01,true
KOHL'S,Seasonal Stockroom Operations Associate,Onalaska,warehouse,2026-08-13,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:kohls:stockroom:2026-08-13,true
COMPASS GROUP, NORTH AMERICA,WAREHOUSE ORDER BUILDER (PART TIME),La Crosse,warehouse,2026-08-13,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:compass:warehouse-builder:2026-08-13,true
SONEPAR USA INC,Warehouse Material Hander No,La Crosse,warehouse,2026-08-18,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:sonepar:warehouse:2026-08-18,true
SONEPAR,Warehouse Material Hander - No Weekends!,La Crosse,warehouse,2026-08-18,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:sonepar:warehouse-no-weekends:2026-08-18,true
ROEHL TRANSPORT,Truck Driver Regional Refrigerated Fleet - Weekly Home Time,La Crosse,operations,2026-08-18,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:roehl:regional:2026-08-18,true
ROEHL TRANSPORT,CDL Truck Driver Van OTR Fleet,La Crosse,operations,2026-08-17,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:roehl:otr:2026-08-17,true
ROEHL TRANSPORT,Truck Driver on-the-job CDL Training,La Crosse,operations,2026-08-19,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:roehl:training:2026-08-19,true
ALTRA FEDERAL CREDIT UNION,"Part-Time Member Service Rep, West Salem",West Salem,operations,2026-08-19,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:altra:member-service:2026-08-19,true
ENGLISH LUTHERAN CHURCH,Administrative Assistant,La Crosse,operations,2026-08-20,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:english-lutheran:admin:2026-08-20,true
WALMART,(USA) Member Team Lead,Onalaska,leadership,2026-08-14,Job Center of Wisconsin,https://jobcenterofwisconsin.com/Presentation/JobSeekers/JobOrderList.aspx,jcw:walmart:member-team-lead:2026-08-14,true
